variable,WebVariableSortOrder,category,title,titleLower,low,high,unit,shortlist,decimals,rounding,factor,Ranking statement (same for all),definition,tags,condition,conditionDefinition,positive,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
HO18_LifeExpect,01_01,Overall health status,Life Expectancy,life expectancy,Shorter life expectancy,Longer life expectancy,#,TRUE,0,1,1,"Out of 50 states, [state] ranks [#th] for [variable].",Life expectancy represents the average number of years a baby born in a given state today can expect to live. States with the best statistics (longest life expectancies) rank first.,span;longevity;age;lifespan;duration;generation;existance;cycle;lifetime;life;existance;natural;livespan;lives;lifespand;lifestime;period;life-span;life-cycle;old;oldage;old-age;elderliness;mature;maturity;experience;experience;time;life-time;lifetimes;live;lives;lifespans;,,,TRUE,75.5,78.7,80,76,81.4,80.4,80.9,78.8,78.2,80.1,77.6,82.3,79.3,79.3,77.3,79.6,78.6,75.8,75.9,78.9,79.4,80.7,78.1,81,74.9,77.6,78.6,79.6,78.5,79.9,80.6,78.3,81.1,78.1,79.7,77.5,75.9,79.8,78.6,80,77.1,79.3,76.2,78.9,79.7,79.9,79.5,80.3,75.4,79.7,78.7
HO22_ExVgGoodHealthStatAdult,01_02,Overall health status,Self-Rated Health,self-rated health,Worse self-rated health,Better self-rated health,#;%,TRUE,0,1,1,,"Self-rated health reflects the percent of adults who reported their own overall health as excellent, very good, or good (versus fair or poor). States with the best statistics (better reported health) rank first.",healthy;self-rated health;functional status;health status;state of health;condition;situation;wellness;heartiness;vigor;liveliness;vitality;well-being;healthiness;wells;well;healthful;goodshapes;shape;strong;strenght;fit;fitness;able;able-bodied;thrive;thriving;state;hearty;healthfull;healthful;health-ful;robust;,,,TRUE,77.3889819,86.16890602,81.43790658,74.43146318,82.15635219,85.53006769,85.63455726,83.58330183,88.40066116,80.50790841,80.90876981,85.24201164,84.12730049,81.96678104,81.53063213,86.07616843,84.58746917,77.53308995,78.11497266,83.63250226,85.57831777,85.89074977,81.97270251,87.30314435,76.82763884,80.97869545,84.40854125,85.32300952,79.05797007,85.94302087,82.45085127,78.33911695,83.09131012,81.70416079,85.18215215,82.00524496,79.82801119,83.59270738,83.42821159,84.3628175,79.96888336,86.97278127,79.53323656,81.68828521,88.29877112,86.53545221,83.68679613,85.63410144,73.73665438,84.04265219,84.34823683
HO24_PhysUnhealthyDays,01_03,Overall health status,Physically Unhealthy Days,physically unhealthy days,Fewer unhealthy days,More unhealthy days,#,FALSE,0,1,1,,Physically unhealthy days reflect the average number of self-reported physically unhealthy days (out of the last 30 days). States with the best statistics (fewer unhealthy days) rank first.,sick;unwell;physical health; poorly;indisposed;bad;off;ailing;infirm;un-well;bad-off;ailing;poor;poorly;poorhealth;sickly;ill;frail;weak;week;weakly;unhealthful;non-healthy;unwholesome;not well;noxious;well-being;wellbeing;self-rated;status;health status;state-of-health;health;situation;condition;functional;,,,FALSE,4.646992,3.83873,4.180603,5.230855,3.603116,3.416436,3.52636,3.464949,2.842265,4.025981,3.836101,3.467669,3.759434,3.93444,4.130185,3.134704,3.240237,5.01031,4.265474,4.374153,3.196834,3.555068,4.447337,3.08785,4.518564,4.28981,3.836343,3.293444,4.402279,3.833499,3.740624,4.508359,3.722426,3.741948,3.070972,4.091169,4.630267,3.943252,4.127951,4.001162,4.403317,3.294396,4.651689,3.598444,3.298239,3.826645,3.573638,3.819223,5.547781,3.821263,3.880981
HO25_MentUnhealthyDays,01_04,Overall health status,Mentally Unhealthy Days,mentally unhealthy days,Fewer unhealthy days,More unhealthy days,#,FALSE,0,1,1,,Mentally unhealthy days reflect the average number of self-reported mentally unhealthy days (out of the last 30 days). States with the best statistics (fewer unhealthy days) rank first.,depression;anxiety;mental illness;behavioral health;mental health;behavioral health;emotional;sanity;psychological; psychiatic;mental soundness;stability;wellness;state of mind;mental fitness;mind;well-being;self;self-reported;status;health;condition;situation;functional;well-being;wellbeing;well being;,,,FALSE,4.481227,3.474672,3.791449,5.011947,3.536875,3.589863,3.65253,3.56514,3.392815,3.568342,3.758098,3.119027,3.547581,3.438678,4.20681,3.266265,3.24351,4.597971,4.174686,4.0634,3.375411,3.885017,4.254071,3.115392,4.311725,4.168893,3.383394,3.173331,4.415466,3.957729,3.416463,3.941715,3.533601,3.823577,3.078579,4.09084,4.363943,4.276638,4.186711,4.183838,4.27217,2.801094,4.375698,3.418299,3.754076,3.892169,3.404471,3.748251,5.030365,3.717943,3.626582
HO20_YLL75,01_05,Overall health status,Premature Death,premature death,Fewer years lost,More years lost,#,FALSE,0,1,1,,"Premature death represents the number of years of life lost, per 100,000 people, from deaths that occurred before age 75. States with the best statistics (fewer years lost) rank first.",life expectancy;premature death;early death;young;before time;sudden;untimely;abrupt;swift;unexpected;life-expectancy;life-expectency;premature;pre-mature;death;die;dead;demise;fatal;fatality;deaths;early;grave;demise;passing;mortality;mortal;short;too soon;soon;timeless;untimely-death;pre-terminal;rate;lives;lost,,,FALSE,9929.9,8144.3,6892,9257.5,5180.3,5872.2,5415.9,7376,,7179.8,7646.4,5619.9,6172.9,6502.8,8054.2,6191.3,6652.4,9665.8,9355.4,6880.1,7059.6,5594.6,7431.5,5126.8,10207,8016,7388.9,5795.6,7176.1,6563.9,5647.4,8801.3,5407.2,7471.3,6527.9,8323.3,9170.6,5839.5,7401,5975.9,8487.9,6993.6,8937.8,6515.1,6073.2,5976.8,6243.5,5360.2,10382,6253.2,7067.7
HO02_CVDMort,02_01,Death rates,Heart Disease Deaths,heart disease deaths,Fewer deaths,More deaths,#,FALSE,0,1,1,,"The heart disease death rate reflects the number of deaths per 100,000 people, due to heart conditions. States with the best statistics (fewer deaths) rank first.",cardiovascular;heart disease;cardiac deaths;genetic;diseases;hearts;conditions;cardio-vascular;cardiac;cardiacs;circulatory;disease;artery;coronary;failure;ailment;fails;disorders;sick;deaths;die;demise;dead;fatal;fatality;mortality;mortal;rate;lives;lost,,,FALSE,295,192.8,187.1,282.6,200.6,175.7,189.1,218,260.6,198.1,241.4,180.2,203.7,222.9,241.7,213.7,220.7,260.5,274.6,196.7,222.3,179.8,254.2,164.3,306.2,250.1,200.5,199.5,249,189.1,213.3,192,223.7,220.3,198.8,245.9,288.9,187.8,228.4,200.4,240.3,204.4,266.1,226.2,199.2,200.7,207.9,186.7,261.2,206.7,205.7
HO05_CerebroMort,02_02,Death rates,Stroke Deaths,stroke deaths,Fewer deaths,More deaths,#,FALSE,0,1,1,,"The stroke death rate reflects the number of deaths per 100,000 people, due to stroke. States with the best statistics (fewer deaths) rank first.",stroke;stroke deaths;CVA;cerebrovascular;dead;fatal;fatality;mortal;mortality;rate;hemorrhagic;ischemic;cerebrum;vascular;blood;bloodflow;blood-flow;strokes;lives;lost,,,FALSE,49.9,38.2,29.5,46.9,35.5,33.7,27.3,39.1,34.9,33.9,43.1,35.3,36.6,37.6,40.7,33.5,38.7,41.8,45.1,33.6,37.7,28.2,37.6,33,49.5,41,34.7,34.5,35,28.1,31.6,32.6,26.1,43.2,34.2,40.5,43.6,37.5,37.4,27.5,45.9,36.6,45.4,41.7,38.2,32.9,38.5,34.8,43.8,35.1,32.6
HO03_CancerMort,02_03,Death rates,Cancer Deaths,cancer deaths,Fewer deaths,More deaths,#,FALSE,0,1,1,,"The cancer death rate reflects the number of deaths per 100,000 people, due to cancer. States with the best statistics (fewer deaths) rank first.",cancer deaths;neoplasms;malignancy;tumor;melignant;cancer;melanoma;mesothelioma;lymphoma;myeloma;genetic;tumor;tumour;disease;deaths;fatal;fatality;mortal;mortality;rate;dead;growth;tumors;lumps;cancerous;cancers;illness;lives;lost,,,FALSE,182.8,168.6,146.8,189.1,147.8,141.7,151.8,173.4,176,157,168.9,137.8,156.6,173.7,182.7,169.5,168.2,202.1,187.3,178.8,163.9,160.3,175.1,157.5,196.4,180.1,157.9,163.3,164.4,166.4,158.9,146.9,155.6,170.3,154,181.9,187.7,165.9,174,169,175.3,162.6,187.3,157.3,130.4,167.7,165,159.8,194.5,166.7,148.9
HO04_LowerRespMort,02_04,Death rates,Lower Respiratory Deaths,lower respiratory deaths,Fewer deaths,More deaths,#,FALSE,0,1,1,,"The lower respiratory death rate reflects the number of deaths per 100,000 people, due to lower respiratory conditions. States with the best statistics (fewer deaths) rank first.",lung;pulmonary;smoking;emphysema;bronchitis;asthma;respiration;breathing;breath;respirator;lungs;deaths;deathly;fatal;fatality;mortal;mortality;rate;dead;infection;chest;lang;tract;infection;pneumonia;bronchitis;tuberculosis;airways;CLRD;chronic;emphysema;asthma;lives;lost,,,FALSE,55.2,39.4,43.3,59.3,33.5,46.8,30.2,41.9,23.6,38.5,46.1,17.1,46.1,38.7,55.5,48,49.8,64.7,44.7,48.7,31,31.9,45.6,36.1,56.1,52.2,50.3,49.7,54,41.5,29.7,44.6,29.8,45.6,36.9,49,62.9,41.6,38,35.1,48.6,41.9,53.4,41.2,33,43,36.2,39,63.3,38.9,55.8
HO07_DiabetesMort,02_05,Death rates,Diabetes Deaths,diabetes deaths,Fewer deaths,More deaths,#,TRUE,0,1,1,,"The diabetes death rate reflects the number of deaths per 100,000 people, due to diabetes. States with the best statistics (fewer deaths) rank first.",diabetes mellitus;type 2;type II;sugar;diabetus;diabetic;mellitus;hypoglycaemic;death;dead;fatal;fatalitiy;mortal;mortality;deadly;hypoglycemia;insulin;glucose;metabolic;rate;lives;lost,,,FALSE,22.5,20.3,24.1,24.6,20.9,15.7,14.5,19.3,21.3,19.1,22,15.4,22.3,19.1,25.9,22,20,26,25.5,22,19.2,14.8,22.9,18.9,32,19.9,21.2,22.2,14.7,18,18.7,27,17.4,23.1,21.2,25.4,30.1,23.4,21.9,17.8,22.5,23.1,24.2,21.2,24.7,19.5,19.8,21.5,32.8,19.2,17.1
HO17_InfantMort,02_06,Death rates,Infant Mortality,infant mortality,Fewer deaths,More deaths,#,FALSE,0,1,1,,"The infant mortality rate reflects the number of infant deaths per 1,000 live births. States with the best statistics (fewer deaths) rank first.",baby;babies;neonatal;sids;birth outcomes;infant deaths;newborn;child;tot;babe;newborns;death;dead;mortal;mortality;fatal;fatality;rate;children;kids;childbirth;child-birth;delivery;family;families;birthing;born;infantile;maternal;childhood;crib;morbidity;casualities;lives;lost,,,FALSE,9.1,5.4,5.4,8.1,4.2,4.8,4.8,7.9,7.1,6.1,7.5,6.1,6.1,6.3,7.5,6.1,5.9,6.7,8,5.8,6.6,3.9,6.4,5.1,8.6,6.5,5.9,6.2,5.7,3.7,4.1,6.2,4.5,7.2,6.5,7.4,7.4,4.6,6.1,5.7,7,4.8,7.4,5.7,5.4,,5.8,4.3,7.3,6.3,5
HO08_KidneyMort,02_07,Death rates,Kidney Disease Deaths,kidney disease deaths,Fewer deaths,More deaths,#,FALSE,0,1,1,,"The kidney disease death rate reflects the number of deaths per 100,000 people, due to kidney disease. States with the best statistics (fewer deaths) rank first.",renal disease;kidney deaths;nephritis;nephrosis;kidney failure;dead;fatal;fatality;rate;mortal;mortality;failure;nephropathy;renal;impairment;function;impaired;diseases;dysfunction;problems;disorder;nephrosis;damage;kinee;kidnys;kindeys;lost;lives;,,,FALSE,18.5,10,5.2,20.1,7.9,8.8,12.3,15.1,8.6,10.7,18.5,11.2,8.9,17.1,18.3,8.1,16.7,19.9,23.6,12.6,11.8,14.5,14.5,10,22.2,19,9.7,10.4,11.8,10.4,13.8,12.3,9.6,16.4,12.2,14.5,13.8,7.5,16,9.8,15.6,6.6,14.4,16,14.9,3.9,17.3,6.3,19.5,13.8,11.5
HO15_SuicideMort,02_08,Death rates,Suicide,suicide ,Fewer deaths,More deaths,#,FALSE,0,1,1,,"The suicide death rate reflects the number of deaths per 100,000 people, due to suicide. States with the best statistics (fewer deaths) rank first.",behavioral health;deaths of dispair;diseases of despair;suicide deaths;self inflicted;self-inflicted;self-destruction;suicidal;self-murder;kill;killed;fatal;fatality;rate;mortal;mortality;commit;committed;end;self-slaughter;take one's life;life;lives;lost;self;metal;mental-health;despair;suiced;sucide;,,,FALSE,14.8,24.1,17.7,17.7,10.3,19.6,9.7,12.6,5.8,14.1,12.5,12.9,20.4,10.3,14.5,13.7,16.4,16.3,13.7,15.9,9.3,8.6,13.2,12.5,13.2,16.4,24.3,12.4,19.3,15.7,7.9,21.8,8.1,12.9,17.3,13.3,19.1,17.8,13.5,10.8,14.7,18.5,15.3,12.2,21.4,16.2,12.8,14.8,17.7,13.8,25
HO16_HomicideMort,02_09,Death rates,Homicide,homicide ,Fewer deaths,More deaths,#,FALSE,0,1,1,,"The homicide death rate reflects the number of deaths per 100,000 people, due to homicide. States with the best statistics (fewer deaths) rank first.",murder;killing;crime;violence; violent;shootings;firearm;kill;slaughter;slaying;murdered;homocide;homcide;unlawful;dead;fatal;fatality;mortal;mortality;rate;lives;lost;,,,FALSE,9.5,6.2,5.8,8,5,3.8,3.3,6.7,14.3,6.4,6.9,2.2,2.1,7,6.2,2.4,4.3,5.6,12.5,1.9,8.3,2.1,6.8,2.3,11,8.2,3.4,3.7,6.1,1.4,4.7,7.5,3.5,6.2,2.3,5.9,7.6,2.8,5.6,2.7,8.2,3.4,7.3,5.4,2,2.1,4.4,3.1,5.4,3.8,3.4
HO11_MotorVehMort,02_10,Death rates,Motor Vehicle Deaths,motor vehicle deaths,Fewer deaths,More deaths,#,FALSE,0,1,1,,"The motor vehicle death rate reflects the number of deaths per 100,000 people, due to motor vehicle accidents. States with the best statistics (fewer deaths) rank first.",cars;crashes;driving;fatalities;fatality;transportation;car;truck; automobile;auto;machine;motorcar;autos;bus;buses;road;motor-car;vehicles;vehicular;accident;fatal;fatality;rate;lives;lost;mortality;vihicle;vihical;automotive;driver;passanger;in-vehicle;trasnportation;,,,FALSE,23.99,12.9,14.11,20.89,10.22,11.24,8.06,12.12,4.52,15.23,15.52,9.17,16.18,8.99,12.44,13.54,14.47,19.17,17.72,12.95,9.27,6.24,9.6,8.38,26.09,16.21,18.69,11.44,11.84,9.14,6.75,20.23,5.42,14.94,16.45,11.08,18.15,12.17,9.69,5.16,21.52,16.2,16.06,14.48,9.87,10.25,9.65,8.28,15.67,10.88,17.98
HO06_AlzheimersMort,02_11,Death rates,Alzheimer's Deaths,Alzheimer's deaths,Fewer deaths,More deaths,#,FALSE,0,1,1,,"The Alzheimer's death rate reflects the number of deaths per 100,000 people, due to Alzheimer's. States with the best statistics (fewer deaths) rank first.",dementia;Alzheimer's;Alzheimer;cognitive impairment; cognitive decline; anomia;genetic;mental fitness;Alzheimers;disease;senile;memory;memories;alzhiermer's;alzhimer's;alzhiermers;alzhimers;old:old-age:memory-loss;loss;death;dead;fatal;fatality;mortal;mortality;lives;lost;rate;,,,FALSE,35.4,21.1,33.1,34.7,32.6,29.9,18.2,21,19.2,18.9,34.4,16,26.3,22.3,30.8,29.9,22.4,33.3,37.7,25.2,15.5,19.4,28.6,25.2,37.4,27.9,20.8,24.2,23.3,24.2,18.3,19,11.6,31.9,36.3,29.1,30.8,30.3,19.5,24.7,39.2,36.4,39.9,31.2,29.5,34.2,22.9,43.2,27.4,25.5,23
HO01_AllMort,02_12,Death rates,Death Rate (All Causes),death rate (from all causes),Fewer deaths,More deaths,#,FALSE,0,1,1,,"The overall death rate reflects the number of deaths per 100,000 people, from all causes. States with the best statistics (fewer deaths) rank first.",mortality;deaths;all-cause;death;fatal;fatality;mortal;rate;lives;lost;loss;any:total;whatever;everything;every;reason;case;case;whole;entire;sum;complete;completely;entirety;casue,,,FALSE,921,736.9,673,894,620.7,664,650.2,739,753.7,664.8,804.8,585,726.6,726.2,830.1,722.2,761.8,917.1,886.6,753.3,708.4,667.7,782,649.8,950.5,808.6,746.3,719.6,762.2,702.9,670.7,743.9,644.4,782.4,697.8,819.9,898.5,711.7,761.8,701.7,834.1,707.2,882.9,744.9,709.4,706.3,721.7,678.5,935.5,714.7,738.1
HO27_LBW,03_01,Health conditions,Low Birth Weight,low birth weight,Fewer low-weight births,More low-weight births,#;%,FALSE,0,1,1,,Low birth weight represents the percentage of newborns born weighing less than 5.5 pounds. States with the best statistics (fewer low-weight births) rank first.,baby;birth outcomes;small for gestational age;premature;prematurity;low weight;intrauterine growth retardation;IUGR;LBW;underweight;under-weight;pre-mature;preemies; premies;births;birth-weight;low;child;babies;infant;small;tiny;children;,,,FALSE,10.3,5.9,7.3,8.8,6.8,9,7.8,8.9,10.1,8.7,9.8,8.5,7,8.4,8.2,6.8,7,9.1,10.6,7.1,8.5,7.5,8.5,6.6,11.5,8.7,7.9,7,8.5,6.4,8.1,9,7.9,9.2,6.6,8.7,7.8,6.5,8.2,8,9.6,6.8,9.3,8.4,7.2,6.9,8.1,6.4,9.6,7.4,8.5
HO40_AdolAsthma,03_02,Health conditions,Child Asthma,child asthma,Less asthma,More asthma,#;%,FALSE,0,1,1,,Child asthma represents the percentage of children (age 0-17 years) diagnosed with asthma. States with the best statistics (less asthma) rank first.,respiratory;youth;lung;breathing;pulmonary;wheezing;teen;teenage;pollution;allergies;allergens; childrens;young;kids;adolescents;asthmatic;asma;inhaler;ashtma;young;juvenile;minors;boys;girls;little;,,,FALSE,15.37510527,9.791157062,11.41622112,8.788101392,10.85345281,10.75656952,16.5364136,12.47326508,14.17108996,11.49523204,6.969961898,8.694041908,7.991891369,12.40529562,12.32144078,10.08010307,10.68184037,7.451031556,11.02051651,11.44780379,10.39740151,9.012690024,9.434209021,9.031399123,13.00189299,8.014681061,11.31752319,8.315029662,8.527409739,9.885987276,10.42293928,12.50155892,14.96854034,9.816939336,7.124304962,14.66954394,16.22932909,6.988532477,12.90128904,10.68073017,14.92206798,8.401275757,6.202585795,5.018153526,9.345678231,8.820750041,9.177131606,9.104693968,12.76521153,10.60158917,9.444342038
HO30_Chlamydia,03_03,Health conditions,Chlamydia,chlamydia,Less chlamydia,More chlamydia,#,FALSE,0,1,1,,"The chlamydia rate represents the number of chlamydia infections per 100,000 people. States with the best statistics (less chlamydia) rank first.",std;sti;sexually transmitted;venereal;infections;sexually;transmitted;diseases;clap;chlamydiae;sexually-transmitted;,,,FALSE,543.6,768.3,481.1,545,487.5,445.4,364.9,492.2,1198.1,454.8,570.8,498.3,344.5,540.4,437.9,388.9,394.8,395.2,695.2,298.1,459.3,357.3,469.1,389.3,580.2,477.4,408.8,422.9,455.3,233.3,350.6,605.7,524.7,647.4,427.2,489.3,542.2,410.7,418.1,433.6,569.9,462.9,477.5,523.6,293.3,303.4,424.5,406.4,268,423.5,348.7
HO32_HIV,03_04,Health conditions,HIV,HIV,Less HIV,More HIV,#,FALSE,0,1,1,,"The HIV rate represents thenumber of HIV infections per 100,000 people. States with the best statistics (less HIV) rank first.",aids;virus;infectious;std;sti;sexually transmitted;acquired immunodeficiency syndrome;viral;epidemic;HIV-positive;LGBTQ;gay;bisexual;men;transgender;HIV/AIDS;sexually;trasnmitted;sexual-trasnmitted;,,,FALSE,302.4,109.3,270,214.8,376.4,253.6,338.7,404.9,2590.2,615.2,588,233.1,79.2,330.1,195.7,93.5,118.6,179.6,504.7,128.5,657.8,338.4,174.6,171.3,374,234,66.1,131.6,371,107.6,473.7,186.5,768.8,354.9,53.4,212.5,179.9,193.7,314.4,259.5,394.6,73.3,297.4,368.9,116.4,123.7,307.7,208.3,113.3,122,59.7
HO39_OralProbs,03_05,Health conditions,Child Dental Problems,child dental problems,Fewer dental problems,More dental problems,#;%,FALSE,0,1,1,,"Child dental problems represent the percentage of children (age 0-17 years) with a toothache, decayed teeth, or unfilled cavity in the past year. States with the best statistics (fewer dental problems) rank first.",oral;youth;cavities;caries;dental;teeth;tooth; orthodontist;cavity;odontalgia;caries;denistry;decay;tooth-ache;hurt;pain;decay;tooth-decay;child;rate;kids;teen;teenage;young;young-adult; ,,,FALSE,14.30243083,13.89646332,14.32839645,17.06906544,15.09798544,13.47469432,10.50442086,13.45013389,11.16195357,14.35114458,14.68073335,12.1838792,14.78051606,13.53992272,10.81174829,8.343016128,14.11082546,14.6020949,15.60602638,13.97764571,10.25421513,10.75656841,11.29032656,9.459079628,12.81688132,13.60409575,13.73442885,10.48225179,13.82716522,9.710112689,13.86092309,18.31936974,11.32498438,13.28226738,9.989731673,12.3699251,14.51839223,16.47026835,13.70148992,10.40042289,14.2781257,11.24955405,10.3493752,14.33410256,13.22169995,11.74657602,10.77494531,14.12577422,10.85543883,10.68064996,13.82275784
HO33_OverwtAdult,03_06,Health conditions,Overweight,overweight,Fewer overweight adults,More overweight adults,#;%,FALSE,0,1,1,,Overweight adults represents the percentage of adults who are overweight or obese (BMI of 25 or greater). States with the best statistics (fewer overweight adults) rank first.,obesity;fat;BMI;heavy;inactivity;sedentary;overeating;weight;stout;inactive;genetic;body;mass;index;over-weight;rate;obesity;excess;excessive;adult-obesity;adulthood;older;adult-hood;,,,FALSE,69.54791074,66.6554776,63.24601082,68.21720433,61.02474916,58.09892656,61.84333213,67.98922263,53.42080753,63.2219368,65.77915872,57.61944519,64.49773879,65.03850926,67.17843266,68.68296933,66.72357833,69.07877465,69.23148478,65.18441662,64.59161565,60.23635983,67.49255226,64.75018588,71.30431875,67.2396758,62.73645364,68.54293693,62.28161915,63.48088229,63.80904858,64.94670856,60.82850231,66.84796508,68.10772348,66.25691484,68.76077404,62.62011132,65.42747324,63.71379981,67.40755296,66.88742139,68.60551193,68.41142342,60.37404961,61.74627027,65.45274036,63.45666099,70.94572583,66.24450233,64.24526447
HO35_OverwtChild,03_07,Health conditions,Overweight Children,overweight children,Fewer overweight children,More overweight children,#;%,FALSE,0,1,1,,The rate of overweight children represents the percentage of children (age 10-17 years) who are overweight or obese (BMI at or above 85th percentile). States with the best statistics (fewer overweight children) rank first.,youth;obesity;fat;pediatric obesity;BMI;inactivity;sedentary;overeating;inactive;stout;weight;genetic;body;mass;index;over-weight;rate;obesity;excess;excessive;,,,FALSE,35.48686048,26.259158,26.93161842,33.90145083,31.18947908,27.20065622,30.17761354,30.90646747,33.76557569,36.61064832,32.23960329,25.48389925,25.98330113,26.97862093,33.93224202,29.90897717,30.87509486,33.54514979,34.03519204,28.15829644,33.59709352,26.64413483,31.95995467,27.6666758,37.00924244,29.40231257,23.23023278,29.21774362,30.45880212,23.84099849,31.67577502,24.92856004,31.75748873,30.93888986,37.12095366,33.14841148,33.77230677,20.32331193,31.73646217,36.29857737,32.85512413,31.39120031,37.67704971,33.32514988,19.22501973,22.23010297,27.24410624,25.48741131,35.08345543,29.53952439,27.13410781
HO47_CVD,03_08,Health conditions,Heart Disease,heart disease,Less heart disease,More heart disease,#;%,FALSE,0,1,1,,The heart disease rate represents the percentage of the population who has ever been diagnosed with angina or coronary heart disease. States with the best statistics (less heart disease) rank first.,cardiovascular;heart disease;heart attacks;angina;coronary artery;genetic;chest;pain;heart-disease;hearts;discomfort;cardoivascular;cardiac;vascular;circulatory;cardio;system;rate;peoples;public;national;,,,FALSE,6.116927071,2.793719957,4.376883293,7.099048831,3.289943743,3.063841986,3.58552254,3.988943596,2.342106504,4.741460496,4.570154078,3.57054097,3.933321207,3.866344261,4.859523655,3.894807275,3.87157286,6.751353974,5.83609052,5.152320143,3.789872034,4.03051687,5.149722361,3.543668567,5.867523798,4.71997694,3.685683915,3.761165708,4.387929001,4.162243231,3.922901892,4.035434698,4.17789317,4.745765334,4.109626989,4.916934531,4.860869065,4.479005263,4.633592605,4.001473354,4.594725569,4.817884708,5.366890891,3.710821999,2.445318971,3.648319477,3.638792829,3.695285441,7.950898904,4.63000437,3.975801923
HO48_Stroke,03_09,Health conditions,Stroke,stroke,Fewer strokes,More strokes,#;%,FALSE,0,1,1,,The stroke rate represents the percentage of the population that has ever had a stroke. States with the best statistics (fewer strokes) rank first.,cerebrovascular;infarct;TIA; CVA;cerebrovascular; hemorrhagic;ischemic;cerebrum;vascular;blood;bloodflow;blood-flow;strokes;public;rate;national;,,,FALSE,4.625524095,2.171937686,3.380057898,4.777547297,2.433738557,2.41351239,2.626051562,3.20610596,2.902518495,3.504416115,3.749397302,3.046955627,2.578324773,3.13895534,3.992833899,3.071047596,2.908537079,4.460864855,3.966998708,3.082475517,2.832360714,2.688750204,3.514658701,2.50325118,4.956898421,4.593277971,3.22638414,2.788933203,3.308381762,2.57458813,2.830334358,3.323863868,2.600445022,3.845548358,2.852189697,3.579488777,4.343595564,3.174139925,3.508248035,2.276868282,3.83287005,2.206419499,4.843726139,2.557353288,2.158897987,2.547469582,2.878079451,2.824141892,4.405277178,2.592656143,3.042732138
HO49_Diabetes,03_10,Health conditions,Diabetes,diabetes,Less diabetes,More diabetes,#;%,FALSE,0,1,1,,The diabetes rate represents the percentage of the population diagnosed with diabetes. States with the best statistics (less diabetes) rank first.,endocrine;metabolic;type 2;type II;sugar; genetic;diabetus;diabetic;mellitus;hypoglycaemic;hypoglycemia;insulin;glucose;metabolic;rate;public;national,,,FALSE,13.459818,7.638046929,10.07470264,12.64250196,10.04345744,6.753567608,9.257081049,11.47428224,8.523653171,11.28845197,11.2796779,8.525886288,8.085348094,9.922932193,11.43995919,8.788076613,9.698391176,13.44268772,12.69784473,9.858963704,10.29471996,8.924475119,10.73214217,7.556443795,14.71567852,11.45195792,7.86426748,8.789084097,9.687721857,8.110154862,8.990190778,11.49020749,9.808082457,10.6690904,8.724204131,11.03298744,11.71829899,10.68496953,10.36874831,9.044387034,11.83516237,9.329815854,12.66095782,11.43082158,7.035092048,8.233865918,10.3489084,8.401753979,14.45943687,8.376192396,8.394391687
HO53_ActivityLimit,03_11,Health conditions,Disability,disability,Fewer adults with disabilities,More adults with disabilities,#;%,FALSE,0,1,1,,"The disability rate represents the percentage of adults with activity limitations due to physical, mental, or emotional problems. States with the best statistics (fewer adults with disabilities) rank first.","adl;mobility;disabled;immobility;disability; disorder;disablement;incapacity, dysfunction;illness;special needs;handicap;impaired;impairment;rate;population;adulthood;adult-hood;nation;public;inability;persons;disabled-person;handicapped;disorders;affliction;diseases;mental;mental-health;mentalhealth;psychological;psychiatry;psychiatric;mental state;soundness;behavioral;constraints;restrictions;limits;",,,FALSE,27.72468516,20.82177974,20.56482961,27.59954796,19.10779976,19.56989313,19.44093599,20.46681713,17.84825794,20.72086124,20.2423384,16.39151701,22.66305991,17.64552221,21.16375427,18.42483586,19.950257,26.5248689,23.01169282,23.95281537,17.24361989,20.14065126,22.52445754,17.54478684,24.8044499,25.10408701,23.87843981,17.82548825,20.30561417,20.07238877,17.19629146,22.46875747,18.94042482,21.63516519,17.11705567,20.55717836,25.64934856,26.23050651,19.79068372,20.98173175,23.30147586,20.76715211,24.86316244,16.73342899,17.33681394,21.0355934,17.54705413,23.49381924,28.31595128,19.09014391,22.14238336
